AREA_NAME,OCC_TITLE,TOT_EMP,JOBS_1000,LOC QUOTIENT,Score
"Atlanta-Sandy Springs-Roswell, GA",Building and Grounds Cleaning and Maintenance,"63,900",25.026,0.79,2.9
"Atlanta-Sandy Springs-Roswell, GA",Personal Care and Service,"56,090",21.967,0.68,1.8
"Atlanta-Sandy Springs-Roswell, GA",Sales and Related,"286,430",112.177,1.08,5.8
"Atlanta-Sandy Springs-Roswell, GA",Office and Administrative Support,"401,220",157.134,1,5
"Atlanta-Sandy Springs-Roswell, GA","Farming, Fishing, and Forestry","1,800",0.704,0.21,0
"Atlanta-Sandy Springs-Roswell, GA",Construction and Extraction,"81,540",31.936,0.8,3
"Atlanta-Sandy Springs-Roswell, GA","Installation, Maintenance, and Repair","98,050",38.399,0.99,4.9
"Atlanta-Sandy Springs-Roswell, GA",Production,"140,310",54.952,0.85,3.5
"Atlanta-Sandy Springs-Roswell, GA",Transportation and Material Moving,"215,540",84.414,1.22,7.2
"Augusta-Richmond County, GA-SC",Management,"9,770",45.658,0.9,4
"Augusta-Richmond County, GA-SC",Business and Financial Operations,"7,610",35.579,0.69,1.9
"Augusta-Richmond County, GA-SC",Computer and Mathematical,"2,710",12.681,0.43,0
"Augusta-Richmond County, GA-SC",Architecture and Engineering,"5,610",26.231,1.47,9.7
"Augusta-Richmond County, GA-SC","Life, Physical, and Social Science","1,880",8.773,1.07,5.7
"Augusta-Richmond County, GA-SC",Community and Social Service,"2,290",10.715,0.75,2.5
"Augusta-Richmond County, GA-SC",Legal,760,3.539,0.46,0
"Augusta-Richmond County, GA-SC","Education, Training, and Library","14,980",70.052,1.14,6.4
"Augusta-Richmond County, GA-SC","Arts, Design, Entertainment, Sports, and Media","1,510",7.053,0.52,0.2
"Augusta-Richmond County, GA-SC",Healthcare Practitioners and Technical,"18,860",88.168,1.49,9.9
"Augusta-Richmond County, GA-SC",Healthcare Support,"6,830",31.945,1.11,6.1
"Augusta-Richmond County, GA-SC",Protective Service,"6,620",30.963,1.28,7.8
"Augusta-Richmond County, GA-SC",Food Preparation and Serving Related,"19,530",91.288,0.99,4.9
"Augusta-Richmond County, GA-SC",Building and Grounds Cleaning and Maintenance,"7,420",34.683,1.1,6
"Augusta-Richmond County, GA-SC",Personal Care and Service,"4,540",21.208,0.66,1.6
"Augusta-Richmond County, GA-SC",Sales and Related,"22,410",104.787,1.01,5.1
"Augusta-Richmond County, GA-SC",Office and Administrative Support,"32,300",151.023,0.96,4.6
"Augusta-Richmond County, GA-SC","Farming, Fishing, and Forestry",450,2.081,0.63,1.3
"Augusta-Richmond County, GA-SC",Construction and Extraction,"7,980",37.313,0.94,4.4
"Augusta-Richmond County, GA-SC","Installation, Maintenance, and Repair","9,670",45.23,1.16,6.6
"Augusta-Richmond County, GA-SC",Production,"16,560",77.414,1.19,6.9
"Augusta-Richmond County, GA-SC",Transportation and Material Moving,"13,610",63.616,0.92,4.2
"Austin-Round Rock, TX",Management,"41,370",42.868,0.85,3.5
"Austin-Round Rock, TX",Business and Financial Operations,"59,540",61.691,1.19,6.9
"Austin-Round Rock, TX",Computer and Mathematical,"58,880",61.014,2.06,10
"Austin-Round Rock, TX",Architecture and Engineering,"24,480",25.366,1.43,9.3
"Austin-Round Rock, TX","Life, Physical, and Social Science","9,080",9.411,1.15,6.5
"Austin-Round Rock, TX",Community and Social Service,"10,960",11.351,0.79,2.9
"Austin-Round Rock, TX",Legal,"10,290",10.66,1.39,8.9
"Austin-Round Rock, TX","Education, Training, and Library","58,570",60.683,0.99,4.9
"Austin-Round Rock, TX","Arts, Design, Entertainment, Sports, and Media","16,370",16.958,1.25,7.5
"Austin-Round Rock, TX",Healthcare Practitioners and Technical,"44,240",45.844,0.77,2.7
"Austin-Round Rock, TX",Healthcare Support,"20,030",20.753,0.72,2.2
"Austin-Round Rock, TX",Protective Service,"20,480",21.221,0.88,3.8
"Austin-Round Rock, TX",Food Preparation and Serving Related,"103,130",106.855,1.16,6.6
"Austin-Round Rock, TX",Building and Grounds Cleaning and Maintenance,"28,620",29.651,0.94,4.4
"Austin-Round Rock, TX",Personal Care and Service,"28,240",29.259,0.91,4.1
"Austin-Round Rock, TX",Sales and Related,"108,980",112.922,1.09,5.9
"Austin-Round Rock, TX",Office and Administrative Support,"174,130",180.431,1.15,6.5
"Austin-Round Rock, TX","Farming, Fishing, and Forestry","1,170",1.215,0.37,0
"Austin-Round Rock, TX",Construction and Extraction,"40,400",41.859,1.05,5.5
"Austin-Round Rock, TX","Installation, Maintenance, and Repair","30,340",31.437,0.81,3.1
"Austin-Round Rock, TX",Production,"35,280",36.556,0.56,0.6
"Austin-Round Rock, TX",Transportation and Material Moving,"40,530",41.996,0.61,1.1
"Bakersfield, CA",Management,"11,270",38.318,0.76,2.6
"Bakersfield, CA",Business and Financial Operations,"10,240",34.809,0.67,1.7
"Bakersfield, CA",Computer and Mathematical,"4,030",13.698,0.46,0
"Bakersfield, CA",Architecture and Engineering,"7,750",26.346,1.48,9.8
"Bakersfield, CA","Life, Physical, and Social Science","2,770",9.408,1.15,6.5
"Bakersfield, CA",Community and Social Service,"4,800",16.319,1.13,6.3
"Bakersfield, CA",Legal,870,2.964,0.39,0
"Bakersfield, CA","Education, Training, and Library","22,960",78.094,1.27,7.7
"Bakersfield, CA","Arts, Design, Entertainment, Sports, and Media","1,970",6.688,0.49,0
"Bakersfield, CA",Healthcare Practitioners and Technical,"13,390",45.54,0.77,2.7
"Bakersfield, CA",Healthcare Support,"6,210",21.114,0.73,2.3
"Bakersfield, CA",Protective Service,"9,820",33.378,1.38,8.8
"Bakersfield, CA",Food Preparation and Serving Related,"22,890",77.84,0.84,3.4
"Bakersfield, CA",Building and Grounds Cleaning and Maintenance,"7,500",25.506,0.81,3.1
"Bakersfield, CA",Personal Care and Service,"5,180",17.629,0.55,0.5
"Bakersfield, CA",Sales and Related,"25,850",87.921,0.85,3.5
"Bakersfield, CA",Office and Administrative Support,"34,340",116.779,0.74,2.4
"Bakersfield, CA","Farming, Fishing, and Forestry","40,950",139.239,42.16,10
"Bakersfield, CA",Construction and Extraction,"15,660",53.253,1.34,8.4
"Bakersfield, CA","Installation, Maintenance, and Repair","12,810",43.577,1.12,6.2
"Bakersfield, CA",Production,"12,170",41.38,0.64,1.4
"Bakersfield, CA",Transportation and Material Moving,"20,640",70.199,1.01,5.1
"Baltimore-Columbia-Towson, MD",Management,"74,430",55.406,1.1,6
"Baltimore-Columbia-Towson, MD",Business and Financial Operations,"83,420",62.102,1.2,7
"Baltimore-Columbia-Towson, MD",Computer and Mathematical,"62,290",46.368,1.56,10
"Baltimore-Columbia-Towson, MD",Architecture and Engineering,"26,880",20.009,1.12,6.2
"Baltimore-Columbia-Towson, MD","Life, Physical, and Social Science","16,110",11.99,1.46,9.6
"Baltimore-Columbia-Towson, MD",Community and Social Service,"23,440",17.449,1.21,7.1
"Baltimore-Columbia-Towson, MD",Legal,"14,940",11.122,1.45,9.5
"Baltimore-Columbia-Towson, MD","Education, Training, and Library","82,360",61.309,1,5
"Baltimore-Columbia-Towson, MD","Arts, Design, Entertainment, Sports, and Media","15,080",11.222,0.83,3.3
"Baltimore-Columbia-Towson, MD",Healthcare Practitioners and Technical,"92,230",68.657,1.16,6.6
"Baltimore-Columbia-Towson, MD",Healthcare Support,"38,470",28.636,0.99,4.9
"Baltimore-Columbia-Towson, MD",Protective Service,"40,800",30.371,1.26,7.6
"Baltimore-Columbia-Towson, MD",Food Preparation and Serving Related,"106,570",79.333,0.86,3.6
"Baltimore-Columbia-Towson, MD",Building and Grounds Cleaning and Maintenance,"40,480",30.137,0.96,4.6
"Baltimore-Columbia-Towson, MD",Personal Care and Service,"39,550",29.441,0.92,4.2
"Baltimore-Columbia-Towson, MD",Sales and Related,"137,130",102.08,0.99,4.9
"Baltimore-Columbia-Towson, MD",Office and Administrative Support,"213,660",159.056,1.01,5.1
"Baltimore-Columbia-Towson, MD","Farming, Fishing, and Forestry","1,290",0.96,0.29,0
"Baltimore-Columbia-Towson, MD",Construction and Extraction,"56,250",41.874,1.05,5.5
"Baltimore-Columbia-Towson, MD","Installation, Maintenance, and Repair","47,540",35.392,0.91,4.1
"Baltimore-Columbia-Towson, MD",Production,"41,460",30.867,0.48,0
"Baltimore-Columbia-Towson, MD",Transportation and Material Moving,"88,950",66.218,0.96,4.6
"Baton Rouge, LA",Management,"18,040",45.55,0.9,4
"Baton Rouge, LA",Business and Financial Operations,"16,740",42.279,0.82,3.2
"Baton Rouge, LA",Computer and Mathematical,"5,910",14.935,0.5,0
"Baton Rouge, LA",Architecture and Engineering,"8,800",22.231,1.25,7.5
"Baton Rouge, LA","Life, Physical, and Social Science","3,590",9.076,1.11,6.1
"Baton Rouge, LA",Community and Social Service,"4,780",12.072,0.84,3.4
"Baton Rouge, LA",Legal,"2,650",6.696,0.87,3.7
"Baton Rouge, LA","Education, Training, and Library","20,800",52.53,0.85,3.5
"Baton Rouge, LA","Arts, Design, Entertainment, Sports, and Media","4,470",11.28,0.83,3.3
"Baton Rouge, LA",Healthcare Practitioners and Technical,"22,910",57.846,0.98,4.8
"Baton Rouge, LA",Healthcare Support,"10,250",25.879,0.9,4
"Baton Rouge, LA",Protective Service,"11,530",29.112,1.21,7.1
"Baton Rouge, LA",Food Preparation and Serving Related,"34,180",86.321,0.93,4.3
"Baton Rouge, LA",Building and Grounds Cleaning and Maintenance,"11,790",29.776,0.94,4.4
"Baton Rouge, LA",Personal Care and Service,"13,430",33.922,1.05,5.5
"Baton Rouge, LA",Sales and Related,"38,420",97.032,0.94,4.4
"Baton Rouge, LA",Office and Administrative Support,"53,650",135.499,0.86,3.6
"Baton Rouge, LA","Farming, Fishing, and Forestry",340,0.868,0.26,0
"Baton Rouge, LA",Construction and Extraction,"39,390",99.471,2.5,10
"Baton Rouge, LA","Installation, Maintenance, and Repair","19,500",49.245,1.27,7.7
"Baton Rouge, LA",Production,"25,090",63.36,0.98,4.8
"Baton Rouge, LA",Transportation and Material Moving,"29,710",75.019,1.08,5.8
"Beaumont-Port Arthur, TX",Management,"6,260",38.568,0.76,2.6
"Beaumont-Port Arthur, TX",Business and Financial Operations,"4,910",30.243,0.58,0.8
"Beaumont-Port Arthur, TX",Computer and Mathematical,"1,380",8.522,0.29,0
"Beaumont-Port Arthur, TX",Architecture and Engineering,"4,690",28.909,1.62,10
"Beaumont-Port Arthur, TX","Life, Physical, and Social Science","1,650",10.167,1.24,7.4
"Beaumont-Port Arthur, TX",Community and Social Service,"1,580",9.708,0.68,1.8
"Beaumont-Port Arthur, TX",Legal,870,5.353,0.7,2
"Beaumont-Port Arthur, TX","Education, Training, and Library","9,000",55.412,0.9,4
"Beaumont-Port Arthur, TX","Arts, Design, Entertainment, Sports, and Media","1,090",6.729,0.5,0
"Beaumont-Port Arthur, TX",Healthcare Practitioners and Technical,"10,070",62.026,1.05,5.5
"Beaumont-Port Arthur, TX",Healthcare Support,"3,230",19.895,0.69,1.9
"Beaumont-Port Arthur, TX",Protective Service,"4,920",30.289,1.26,7.6
"Beaumont-Port Arthur, TX",Food Preparation and Serving Related,"14,830",91.333,0.99,4.9
"Beaumont-Port Arthur, TX",Building and Grounds Cleaning and Maintenance,"4,110",25.317,0.8,3
"Beaumont-Port Arthur, TX",Personal Care and Service,"5,780",35.62,1.11,6.1
"Beaumont-Port Arthur, TX",Sales and Related,"17,190",105.824,1.02,5.2
"Beaumont-Port Arthur, TX",Office and Administrative Support,"23,740",146.202,0.93,4.3
"Beaumont-Port Arthur, TX","Farming, Fishing, and Forestry",250,1.555,0.47,0
"Beaumont-Port Arthur, TX",Construction and Extraction,"12,130",74.697,1.88,10
"Beaumont-Port Arthur, TX","Installation, Maintenance, and Repair","8,510",52.4,1.35,8.5
"Beaumont-Port Arthur, TX",Production,"15,750",97.01,1.5,10
"Beaumont-Port Arthur, TX",Transportation and Material Moving,"10,430",64.22,0.93,4.3
"Billings, MT",Management,"2,700",31.328,0.62,1.2
"Billings, MT",Business and Financial Operations,"3,520",40.804,0.79,2.9
"Billings, MT",Computer and Mathematical,"1,230",14.209,0.48,0
"Billings, MT",Architecture and Engineering,"1,680",19.433,1.09,5.9
"Billings, MT","Life, Physical, and Social Science",590,6.831,0.83,3.3
"Billings, MT",Community and Social Service,"1,920",22.216,1.54,10
"Billings, MT",Legal,700,8.151,1.06,5.6
"Billings, MT","Education, Training, and Library","3,680",42.641,0.69,1.9
"Billings, MT","Arts, Design, Entertainment, Sports, and Media",830,9.615,0.71,2.1
"Billings, MT",Healthcare Practitioners and Technical,"6,430",74.457,1.26,7.6
"Billings, MT",Healthcare Support,"2,040",23.586,0.82,3.2
"Billings, MT",Protective Service,"1,330",15.433,0.64,1.4
"Billings, MT",Food Preparation and Serving Related,"9,250",107.203,1.16,6.6
"Billings, MT",Building and Grounds Cleaning and Maintenance,"3,200",37.074,1.18,6.8
"Billings, MT",Personal Care and Service,"2,970",34.369,1.07,5.7
"Billings, MT",Sales and Related,"10,990",127.373,1.23,7.3
"Billings, MT",Office and Administrative Support,"13,810",160.059,1.02,5.2
"Billings, MT","Farming, Fishing, and Forestry",330,3.866,1.17,6.7
"Billings, MT",Construction and Extraction,"4,990",57.768,1.45,9.5
"Billings, MT","Installation, Maintenance, and Repair","4,480",51.866,1.33,8.3
"Billings, MT",Production,"3,340",38.646,0.6,1
